Bwr , Temp ,Time ,Pressure ,Yield
15,300,15,100,34.97
12,280,10,100,24.12
18,320,20,100,33.99
12,320,10,100,28.85
15,300,15,100,34.97
15,300,15,100,34.97
15,300,5,100,32.78
12,320,20,100,27.88
15,300,15,100,32.62
12,280,10,100,26.14
15,300,15,100,27.12
15,300,15,100,34.97
12,280,20,100,25.14
12,280,20,100,27.73
18,280,20,100,29.97
15,300,25,100,36.93
18,320,10,100,29.91
18,280,10,100,31.74
15,300,15,100,34.97
18,280,10,100,29.73
12,320,20,100,31.83
18,320,10,100,34.24
9,300,15,100,30.16
15,300,15,100,34.97
15,260,15,100,22.12
12,320,10,100,33.96
18,320,20,100,29.25
15,340,15,100,31.2
21,300,15,100,37.64
18,280,20,100,31.49
18,304.8,15.5,100,38.72
21.0952381,350,15,180,32.5
21.0952381,350,15,180,27
21.0952381,400,15,180,23
21.0952381,400,15,180,23
7,230,20,100,20.4
7,320,20,100,33.6
7,230,50,100,18.3
7,320,50,100,28
13,230,20,100,13.9
13,320,20,100,31.8
13,230,50,100,16.4
13,320,50,100,29.5
10,200,35,100,11.3
10,350,35,100,32.1
10,275,10,100,31.2
10,275,60,100,21.6
5,275,35,100,26.6
15,275,35,100,29.1
10,275,35,100,27.5
10,275,35,100,27.7
10,275,35,100,26.5
10,275,35,100,27.1
10,275,35,100,28.8
10,275,35,100,26.8
10,220,60,50,20.22
10,240,60,50,28.5
10,260,60,50,42.12
10,280,60,50,37.4
10,300,60,50,32.05
